Periode,Tahun,Bulan,Umum,Bahan Makanan,"Makanan jadi, Minuman, Rokok, dan Tembakau","Perumahan, Air, Listrik, Gas dan Bahan Bakar",Sandang,Kesehatan,"Pendidikan, Rekreasi, dan Olahraga","Transportasi, Komunikasi, dan Jasa Keuangan"
Jan-2011,2011,Jan,130.16,158.95,143.85,123.55,119.5,115.03,129.44,102.22
Feb-2011,2011,Feb,131.02,158.91,147.96,124.12,119.61,115.61,129.47,102.03
Mar-2011,2011,Mar,131.9,158.21,148.8,127.6,120.06,115.85,129.33,102.39
Apr-2011,2011,Apr,129.96,149.0,148.78,127.68,120.21,115.85,128.8,102.84
Mei-2011,2011,Mei,130.72,151.72,148.72,127.71,120.29,116.05,128.95,103.49
Jun-2011,2011,Jun,130.99,152.17,148.56,127.73,121.25,117.87,129.47,103.58
Jul-2011,2011,Jul,132.79,158.08,148.68,128.32,121.59,117.87,133.76,104.01
Agu-2011,2011,Agu,135.33,165.57,150.28,128.26,125.01,117.97,133.63,105.9
Sep-2011,2011,Sep,132.18,152.65,150.41,128.3,126.19,117.17,133.65,104.13
Okt-2011,2011,Okt,131.88,149.33,152.14,128.45,125.36,119.31,133.9,104.25
Nov-2011,2011,Nov,132.44,149.53,151.98,130.61,126.4,119.31,133.83,104.25
Des-2011,2011,Des,134.45,157.81,151.97,131.15,126.77,119.31,133.86,104.42
Jan-2012,2012,Jan,135.06,157.34,152.14,134.33,128.68,119.34,133.7,103.76
Feb-2012,2012,Feb,135.0,154.84,152.81,135.78,128.83,119.71,133.69,103.87
Mar-2012,2012,Mar,135.2,154.33,154.51,135.54,129.23,120.71,133.41,103.86
Apr-2012,2012,Apr,135.41,152.85,156.18,136.67,128.73,120.71,133.42,103.94
Mei-2012,2012,Mei,136.24,150.96,161.14,135.78,129.23,120.99,133.4,106.34
Jun-2012,2012,Jun,137.53,155.14,161.69,135.67,128.85,125.16,134.86,106.56
Jul-2012,2012,Jul,140.09,166.58,162.48,136.14,129.79,125.97,136.03,104.82
Agu-2012,2012,Agu,144.02,177.3,165.69,137.47,130.53,126.44,137.84,107.32
Sep-2012,2012,Sep,141.14,162.07,168.03,137.41,131.8,126.44,137.84,107.23
Okt-2012,2012,Okt,140.71,159.33,168.31,137.49,132.28,128.14,137.92,107.19
Nov-2012,2012,Nov,139.98,156.47,168.29,137.98,131.64,128.59,138.17,106.25
Des-2012,2012,Des,142.34,165.5,169.54,137.98,130.2,128.08,138.09,107.51
Jan-2013,2013,Jan,142.6,168.9,169.69,138.13,129.62,128.08,138.09,105.08
Feb-2013,2013,Feb,143.42,170.02,169.8,141.08,128.96,128.08,138.19,104.77
Mar-2013,2013,Mar,143.27,168.14,169.84,141.08,128.41,128.68,138.19,105.94
Apr-2013,2013,Apr,141.91,161.89,169.82,141.14,128.36,128.68,138.08,106.11
Mei-2013,2013,Mei,141.64,159.15,170.65,141.72,129.09,128.68,138.08,106.11
Jun-2013,2013,Jun,142.88,161.12,170.66,141.7,129.55,128.2,138.83,109.72
Jul-2013,2013,Jul,149.44,176.75,175.8,143.55,129.98,128.71,145.87,116.06
Agu-2013,2013,Agu,152.58,188.04,178.67,142.36,129.98,128.71,145.75,118.0
Sep-2013,2013,Sep,151.43,179.31,181.79,142.59,132.08,129.79,146.22,117.71
Okt-2013,2013,Okt,150.38,171.65,185.0,142.61,132.23,129.79,146.85,117.75
Nov-2013,2013,Nov,151.39,172.47,187.99,143.26,132.5,129.62,146.73,118.42
Des-2013,2013,Des,153.12,178.04,188.2,143.42,132.13,129.97,146.51,120.56
Jan-2014,2014,Jan,111.58,116.41,118.0,106.39,103.87,104.54,107.58,112.73
Feb-2014,2014,Feb,110.78,112.13,118.76,106.88,103.8,103.64,107.85,110.72
Mar-2014,2014,Mar,111.45,112.11,119.3,107.27,103.76,103.98,107.85,112.54
Apr-2014,2014,Apr,111.68,110.18,120.95,108.1,103.28,103.98,107.85,113.8
Mei-2014,2014,Mei,112.58,111.56,122.29,108.13,103.46,104.56,107.44,115.62
Jun-2014,2014,Jun,113.64,113.26,123.72,108.97,104.78,107.79,107.42,115.67
Jul-2014,2014,Jul,115.38,116.94,126.1,109.21,105.23,108.56,109.47,117.15
Agu-2014,2014,Agu,115.54,115.82,126.02,110.24,105.22,109.63,111.75,116.9
Sep-2014,2014,Sep,109.16,112.54,113.42,105.13,102.94,103.78,107.41,110.1
Okt-2014,2014,Okt,116.63,118.14,126.91,111.36,106.78,111.13,112.15,116.81
Nov-2014,2014,Nov,116.87,113.73,126.99,111.76,106.7,111.12,112.15,122.3
Des-2014,2014,Des,120.21,122.39,128.19,113.76,106.7,111.12,112.15,122.3
Jan-2015,2015,Jan,120.35,125.84,129.16,114.52,106.4,111.98,113.43,121.51
Feb-2015,2015,Feb,118.14,118.26,129.13,114.78,106.95,112.15,113.53,117.13
Mar-2015,2015,Mar,117.34,111.55,129.44,115.12,106.55,112.27,113.57,119.37
Apr-2015,2015,Apr,117.78,108.86,130.54,115.77,106.52,112.28,113.84,122.49
Mei-2015,2015,Mei,120.42,120.87,131.66,115.89,106.62,112.33,113.84,122.42
Jun-2015,2015,Jun,120.46,120.09,132.34,116.05,106.69,112.49,113.87,122.47
Jul-2015,2015,Jul,122.05,123.31,132.83,116.26,105.85,112.6,114.05,127.01
Agu-2015,2015,Agu,121.14,120.18,132.94,116.92,105.59,113.16,117.73,123.12
Sep-2015,2015,Sep,121.29,119.3,133.83,116.9,107.05,113.49,121.59,121.99
Okt-2015,2015,Okt,122.24,120.25,134.77,116.95,107.32,113.57,121.63,124.9
Nov-2015,2015,Nov,122.81,123.22,134.94,117.11,105.98,113.87,121.63,124.76
Des-2015,2015,Des,125.22,132.26,135.88,118.04,105.95,114.47,121.63,125.7
Jan-2016,2016,Jan,124.71,128.31,136.92,117.99,106.14,114.45,121.68,126.06
Feb-2016,2016,Feb,123.95,126.05,137.23,117.24,106.64,114.91,121.72,124.69
Mar-2016,2016,Mar,124.42,128.48,137.33,117.03,106.9,115.1,121.76,124.63
Apr-2016,2016,Apr,123.76,127.33,137.58,116.87,106.88,115.23,121.79,122.2
Mei-2016,2016,Mei,124.75,130.1,137.99,116.95,106.79,115.42,121.82,124.03
Jun-2016,2016,Jun,125.53,129.59,138.82,117.69,107.09,116.48,121.77,126.55
Jul-2016,2016,Jul,126.02,129.68,139.01,118.04,108.17,116.77,125.03,126.9
